userId;itemId;teamId;ts_reg
3102;191;295;2018-06-11 10:57:22
6150;191;59;2018-06-13 11:48:14
2230;191;470;2018-06-25 17:42:08
2510;191;121;2018-07-13 17:48:45
6711;191;495;2018-07-16 17:10:14
2696;191;26;2018-07-16 17:11:22
4205;191;26;2018-07-16 17:17:13
2931;191;46;2018-07-16 17:20:41
4591;191;8;2018-07-25 09:35:21
2696;191;26;2018-07-25 15:16:29
5846;191;46;2018-07-26 15:46:12
5846;191;46;2018-07-26 15:46:29
866;191;18;2018-07-30 10:10:09
4339;191;171;2018-07-30 10:12:33
5846;191;46;2018-08-01 10:01:30
3798;191;83;2018-08-02 10:17:32
963;191;30;2018-08-02 15:25:31
5988;191;470;2018-08-06 12:52:20
4493;191;18;2018-08-08 18:21:54
5501;191;83;2018-08-10 14:12:07
685;191;46;2018-08-13 10:14:57
3798;191;83;2018-08-14 11:54:23
4073;191;46;2018-08-20 13:18:08
663;191;46;2018-08-21 11:21:27
5812;191;46;2018-08-30 11:24:58
4634;191;46;2018-09-04 11:49:38
5812;191;46;2018-09-04 11:49:52
5812;191;46;2018-09-04 13:52:11
5812;191;46;2018-09-04 13:52:14
4493;191;18;2018-10-08 15:35:51
4796;191;40;2018-10-08 15:36:52
3102;191;104;2018-10-15 17:27:14
7059;191;46;2018-10-19 16:16:50
717;191;37;2018-10-22 12:08:19
1106;191;9;2018-10-23 11:24:06
2228;191;46;2018-10-25 14:40:45
2824;191;21;2018-10-26 09:34:33
938;191;22;2018-10-29 15:46:43
938;191;22;2018-10-29 15:47:31
3649;191;44;2018-11-07 09:27:07
4073;191;46;2018-11-08 18:16:31
1733;191;59;2018-11-13 12:57:50
4315;191;46;2018-11-19 11:56:28
3929;191;45;2018-11-19 15:50:33
4205;191;26;2018-11-19 17:20:41
6946;191;8;2018-11-21 12:38:11
5846;191;46;2018-11-28 09:38:52
3799;191;46;2018-12-04 14:40:26
3799;191;46;2018-12-04 14:55:09
4213;191;846;2018-12-05 14:45:54
5374;192;32;2018-06-20 11:11:06
1141;192;42;2018-06-21 12:45:51
4012;192;13;2018-07-06 10:25:30
4088;192;33;2018-07-12 17:14:56
7251;192;355;2018-10-01 13:12:39
7217;192;1965;2018-10-10 16:15:20
1106;192;9;2018-10-23 11:20:38
2959;192;21;2018-10-25 15:52:51
2824;192;21;2018-10-26 09:34:31
2824;192;21;2018-10-26 09:36:25
7089;192;13;2018-10-29 10:10:33
346;192;2;2018-10-30 13:45:37
4125;192;261;2018-11-12 13:06:30
4112;193;1888;2018-06-11 14:27:08
6115;193;254;2018-06-12 09:17:58
4112;193;1888;2018-06-12 10:29:35
4112;193;1888;2018-06-12 10:38:01
6278;193;386;2018-06-12 13:03:37
3673;193;2019;2018-06-13 11:03:33
4763;193;813;2018-06-14 09:55:07
2736;193;1999;2018-06-14 16:25:44
3733;193;1989;2018-06-15 09:18:34
6095;193;2053;2018-06-18 14:59:36
3865;193;815;2018-06-20 13:48:04
1533;193;685;2018-06-20 17:13:00
2085;193;1990;2018-06-21 10:08:31
3741;193;101;2018-06-21 14:42:21
3364;193;2006;2018-06-21 15:16:34
6693;193;457;2018-06-26 17:42:49
6693;193;457;2018-06-27 08:54:45
6693;193;457;2018-06-27 09:43:39
5783;193;21;2018-06-27 10:10:02
6292;193;2056;2018-06-27 10:50:35
5662;193;2047;2018-06-27 11:55:20
3912;193;821;2018-06-27 11:57:26
4537;193;376;2018-06-28 11:11:21
4537;193;376;2018-06-28 11:20:18
4537;193;376;2018-06-28 11:20:21
4481;193;2027;2018-06-28 12:07:34
3661;193;2018;2018-07-02 13:20:00
5077;193;2036;2018-07-02 13:26:58
4998;193;2035;2018-07-02 15:54:45
2546;193;22;2018-07-05 11:22:02
5661;193;520;2018-07-06 10:40:18
518;193;1969;2018-07-06 13:52:36
3087;193;427;2018-07-10 11:36:23
518;193;1969;2018-07-11 16:46:09
4032;193;2022;2018-07-12 11:04:54
6939;193;1959;2018-07-12 11:48:21
1047;193;1979;2018-07-12 12:05:41
4192;193;1863;2018-07-12 15:50:00
1253;193;1984;2018-07-13 12:15:13
4293;193;374;2018-07-18 12:32:18
3527;193;2014;2018-07-24 11:05:38
4681;193;2031;2018-07-25 16:28:21
4681;193;2031;2018-07-25 16:34:09
6739;193;2060;2018-07-30 09:34:25
6739;193;2060;2018-07-30 09:37:02
2090;193;1;2018-07-30 15:53:34
3194;193;428;2018-08-01 10:06:43
2349;193;1993;2018-08-02 18:05:07
5129;193;83;2018-08-08 16:02:05
5722;193;2048;2018-08-09 11:55:15
418;193;19;2018-08-09 13:39:27
418;193;19;2018-08-09 13:51:56
3596;193;2015;2018-08-10 10:47:08
3596;193;2015;2018-08-10 10:47:40
3596;193;2015;2018-08-10 10:48:57
3596;193;2015;2018-08-10 11:52:32
3596;193;2015;2018-08-10 11:56:10
3596;193;2015;2018-08-10 12:12:44
3596;193;2015;2018-08-10 13:39:33
3596;193;2015;2018-08-10 13:42:56
6545;193;1022;2018-08-13 17:09:17
3596;193;2015;2018-08-14 10:17:08
3596;193;2015;2018-08-14 10:37:43
3596;193;2015;2018-08-14 10:37:56
3596;193;2015;2018-08-14 10:44:35
3596;193;2015;2018-08-15 14:40:44
4891;193;8;2018-08-16 09:41:38
6242;193;2054;2018-08-16 12:31:33
1987;193;657;2018-08-16 16:10:29
1987;193;657;2018-08-17 16:17:27
1987;193;657;2018-08-17 16:17:30
1987;193;657;2018-08-17 16:17:53
1447;193;1708;2018-08-17 16:18:54
1987;193;657;2018-08-17 16:25:11
1987;193;657;2018-08-17 16:25:31
2777;193;1708;2018-08-17 16:26:40
2777;193;1708;2018-08-17 16:26:43
3478;193;2010;2018-08-20 08:54:24
688;193;1973;2018-08-20 17:40:19
561;193;1971;2018-08-21 14:29:23
2880;193;1968;2018-08-21 16:30:09
393;193;1968;2018-08-21 16:31:27
2880;193;1968;2018-08-21 17:04:15
2880;193;1968;2018-08-21 17:24:26
2880;193;1968;2018-08-21 17:24:31
2880;193;1968;2018-08-21 17:49:53
2880;193;1968;2018-08-22 08:56:27
2880;193;1968;2018-08-22 09:28:19
2880;193;1968;2018-08-22 09:37:41
2880;193;1968;2018-08-22 10:01:07
2880;193;1968;2018-08-22 12:37:59
2880;193;1968;2018-08-22 13:13:19
2880;193;1968;2018-08-22 13:44:23
2880;193;1968;2018-08-22 15:17:50
